LOANWORD128_001 とつぜんのことにぱにくってにげだしてしまった
LOANWORD128_031 このあたりのみちはよくしっていたのでじょしゅせきからうんてんしゅになびった
LOANWORD128_032 かのわるいくせはふりなじょうきょうになるとすぐにねぐることだ
LOANWORD128_033 あさからけいたいでんわがとつぜんばぐってうごかなくなった
LOANWORD128_034 しんけんしょうぶだったのでともだちだからとてをぬかずにほんきでばとった
LOANWORD128_035 うそばかりつくかれはみんなからはぶられている
LOANWORD128_036 なんとなくきにいらないとおもってるやつをはぶる
LOANWORD128_037 ともだちのぼかるにあわせててんぽよくはもることができた
LOANWORD128_038 よくみてみたらあのにんのさくひんをぱろったものだった
LOANWORD128_039 よなかにおはらがあくとついびにることになってしまう
LOANWORD128_040 ぶたるとわかっていてもやしょくのけきはやめられない
LOANWORD128_041 ゆうじんのあまりにもいっぽうてきなやくそくはむししてぶっちするにかぎる
LOANWORD128_042 いたずらばかりするふりょうをこらしめるためにぼこる
LOANWORD128_043 このりょこうのけいかくがぽしゃることになったらとてもざんねんだ
LOANWORD128_044 ふたつのにんぎょうのあたまがぶつかりかたほうのにんぎょうがまみってしまった
LOANWORD128_045 かのじょにでんわをかけようとしたらみすってははおやにでんわしてしまった
LOANWORD128_046 だいがくのじゅぎょうでわたしはせんせいのむずかしいこうぎをめもる
LOANWORD128_047 このけしきがものすごくきれいだからそのきねんにしゃめる
LOANWORD128_048 いまのかのうごきはまじでかみっている
LOANWORD128_049 むぃこらいうはうくらいなのとしむぃこらいうしゅうのしゅうちょうしょざいちである
LOANWORD128_050 いぇるだいがくはべいこくこねちかっとしゅうにゅへいぶんしにほんぶをおく
LOANWORD128_051 うぁれんてぃぬすあるいはゔぁれんたいんはさんせいきごろのきりすときょうのせいしょくしゃである
LOANWORD128_052 うぃきぺでぃあはうぃきめでぃあざいだんがうんえいしているいんたねっとひゃっかじてんである
LOANWORD128_053 うぇすとばじにあしゅうちじはあめりかがっしゅうこくうぇすとばじにあしゅうにおけるちじである
LOANWORD128_054 うぉるとでぃずにはあめりかがっしゅうこくいりのいしゅうしかごにうまれたあにめたである
LOANWORD128_055 うゃんどってびるにすんでいる
LOANWORD128_056 うゅるてんべるくおうこくのさんぎょうはってんにこうけんした
LOANWORD128_057 うぃりあむうょんがじょおうのしちょうしゃごほうもんきねんにさくせいしためだるをもとにしてさくせいされた
LOANWORD128_058 みるきぃほむずのらいぶがぶどうかんでかいさいされた
LOANWORD128_059 きぇるつぇはぽらんどのちゅうしんぶにいちするとしである
LOANWORD128_060 ふらんすのさっきょくかぎぃろぱるつがさっきょくした
LOANWORD128_061 ぎぇんつぇんのるぶはちゅうかじんみんきょうわこくちべっとじちくしゅっしんのちべっとぞくのそうである
LOANWORD128_062 どれがくぁでぃぞくのものかさだかではない
LOANWORD128_063 くぃんありあこくさいくうこうはよるだんのしゅとあんまんにあるこくさいくうこうである
LOANWORD128_064 くぇぜりんしまのたたかいとはにほんぐんのまもるくぇぜりんかんしょうへあめりかぐんがしんこうしておこなわれたせんとうである
LOANWORD128_065 くぉんさんうはかんこくのはいゆうである
LOANWORD128_066 ぐぁるねりはいたりあしゅっしんのげんがっきせいさくしゃいちぞくまたはかれらがせいさくしたげんがっきである
LOANWORD128_067 ぐぃねゔぃあはしょうわくせいおびのそとへりぶふきんにいちするしょうわくせいである
LOANWORD128_068 しんゆうとなったざふとのえいゆうぐぅどゔぇいあとのせんとうでそんしょうした
LOANWORD128_069 ぐぃねゔぃあはでんせつてきなじんぶつであさおうのおうひ
LOANWORD128_070 ぐぉようはちゅうごくぺきんしゅっしんのだんせいはいゆう
LOANWORD128_071 しぇねるはおすとらりあしゅっしんのかしゅ
LOANWORD128_072 じぇふゆないてっどはにっぽんのぷろさっかくらぶである
LOANWORD128_073 すぃのぷおきかいせんはだいいちじせかいたいせんなかのかいせんである
LOANWORD128_074 ずぃるあさのおうぞくでとしあしるをとうちしていた
LOANWORD128_075 すゃんかわはぽらんどをながれるかせんである
LOANWORD128_076 らずゃしちいとはなんだろう
LOANWORD128_077 いのちをはりたたかうすぁろぅをこころのそこからいとしていた
LOANWORD128_078 ほんみょうをずぇずぇという
LOANWORD128_079 ちぇげばらはあるぜんちんうまれのせいじかである
LOANWORD128_080 ぢぇちぬふはぽらんどにあるまち
LOANWORD128_081 りぶにつぁはすろべにあのしである
LOANWORD128_082 つぃまはほんこんしゅっしんのはいゆうである
LOANWORD128_083 つぇんとらるてつどうはすいすのてつどうがいしゃである
LOANWORD128_084 つぉつぃるかたとはいんでぃへなのつぉつぃるぞくによってはなされているまやごのひとつである
LOANWORD128_085 てぃらのさうるすはきたあめりかたいりくにせいそくしていたにくしょくきょうりゅうである
LOANWORD128_086 とぅるらぶすとりのこうしきいらすとれたのひとりでもある
LOANWORD128_087 でぃんふじおかはにっぽんのはいゆうである
LOANWORD128_088 どぅんしろはどぅんにあるちゅうせいのようさいである
LOANWORD128_089 てゃてゅてょとよむ
LOANWORD128_090 ぎょうせいかいかくによってはでゃちれんたいにかいめいされた
LOANWORD128_091 でゅらららはにっぽんのらいとのべるである
LOANWORD128_092 じゅんれぎゅらじんによるげきだんぷろでょぬでにどのこうえんをじっしした
LOANWORD128_093 ぱそろんかみぞくのゆいいつのいきのこりとぁんのものだろう
LOANWORD128_094 なんかしたもんぞくはたとぉんおうこくをたてた
LOANWORD128_095 にぇんろんはちべっとじちくにあるけん
LOANWORD128_096 ぬぁざはけるとしんわにとうじょうするかみである
LOANWORD128_097 ぬぃさはぽらんどなんせいぶにあるまち
LOANWORD128_098 そぎゅんとじぬぉんはながねんふにんちりょうをうけていたがせいかがあがらなかった
LOANWORD128_099 おおくのふぁいなるふぁんたじのしりずではくりすたるやませきはわくせいのえねるぎとかんけいをもっている
LOANWORD128_100 ふぃりぴんはとうなんあじあにいちするきょうわせいこっかである
LOANWORD128_101 ふぇらりはいたりあにほんしゃをおくじどうしゃめかである
LOANWORD128_102 ふぉみゅらわんはもたすぽつのかてごりのひとつである
LOANWORD128_103 ゔぁいおりんきょうそうきょくはゔぁいおりんのためのきょうそうきょく
LOANWORD128_104 らゔぃあんろずはえでぃっとぴあふのだいひょうきょく
LOANWORD128_105 ゔぃくとりああんどあるばとはくぶつかんはろんどんのけんじんとんにある
LOANWORD128_106 ゔぇねつぃあはいたりあのとし
LOANWORD128_107 ゔぉるでもとはかくうのまほうつかいである
LOANWORD128_108 じゃふゃるもはんまどさるますぃはいらんのだんしじゅうりょうあげせんしゅ
LOANWORD128_109 ふゅじょんでんしおんがくなどをゆうごうさせたおんがくのじゃんるである
LOANWORD128_110 ふょどるしゃりあぴんのめいをきいたことがあるか
LOANWORD128_111 ゔゃじまこうはゔゃじまこうこくのくんしゅのしょうごうである
LOANWORD128_112 ゔゅるつぶるくちゅうおうえきはどいつにあるえきである
LOANWORD128_113 へんりくゔぃぇにゃふすきのがくふ
LOANWORD128_114 ぷぁるつごはどいつちゅうせいぶのぷふぁるつちほうではなされるげんごである
LOANWORD128_115 ぷぃさんかはうくらいなのとくさんひんである
LOANWORD128_116 ぶぃどごしゅちゅはぽらんどのとしである
LOANWORD128_117 ぶぇらしゅにつぁやまはぼすにあへるつぇごびなちゅうおうぶにあるやまである
LOANWORD128_118 ゔぉこだはゔぉいすとこだをあわせたことばである
LOANWORD128_119 みぇちすわふゔぁいんべるくがさっきょくしたふるときょうそうきょく
LOANWORD128_120 りんねとむぁんまるあるくふぃがかれらのしゅだとしんじていた
LOANWORD128_121 すむぃはほくとううくらいなにいちするとしですむぃしゅうのしゅうちょうしょざいちである
LOANWORD128_122 ぽんぺいしまのひがしがわにふずいしているちぇむぇんしま
LOANWORD128_123 ちゃむぉんえきだいかんみんこくそうるとくべつしにあるえき
LOANWORD128_124 かのじょのとうじょうきがりぃなあしたのかくれていたこやをまきこんでばくはつした
LOANWORD128_125 りぇいだだいがくはすぺいんのりぇいだにあるそうごうだいがくである
LOANWORD128_126 いさんるぁんはたいわんのはいゆう
LOANWORD128_127 はるぃちこうこくはりゅりくあさのこうこくである
LOANWORD128_128 おおさかべるぇべるびようせんもんがっこうはがっこうほうじんろいやるがくえんがうんえいするせんしゅうがっこう
