ONOMATOPEE300_001 めがちかちかするのだがなにかのびょうきだろうか
ONOMATOPEE300_084 ようじもすんだのでいえまでてくてくあるいてかえる
ONOMATOPEE300_085 かったとおもったのにまさかのぎゃくてんまけけでがっくしだ
ONOMATOPEE300_086 よるがふかくなってきたしぼちぼちまじゃんをきりあげようとていあんしたがだれものってくれなかった
ONOMATOPEE300_087 けっかをまっているのになかなかしらせがないためやきもきしながらまつはめになってしまった
ONOMATOPEE300_088 ふらいどぽてとがさめてしまいしなしなのしょくかんになった
ONOMATOPEE300_089 じゅんのきせつになるといなかからやさいがどっさりおくられてくる
ONOMATOPEE300_090 さんさいになるむすめがきこきことさんりんしゃをこいでいる
ONOMATOPEE300_091 きのうのみすぎたためふつかよいであたまががんがんした
ONOMATOPEE300_092 そのへやはとてもあつかったのであせがたらりとながれた
ONOMATOPEE300_093 かれはそらにむかってふわっととびたったがおりることをかんがえていなかったためかぜにながされどこかにいってしまった
ONOMATOPEE300_094 きょうのあさめざましとけいならなくてねぼうしたんだけどうまくでんしゃにのれてぎりぎりまにあった
ONOMATOPEE300_095 よくはれてくうきもすんだよるだったのでそらにはほしがきらきらとかがやいていた
ONOMATOPEE300_096 いちねんじゅうべったりとくっついてくるかれしがいるとじまんしたらうらやましそうなかおでこちらをみてきた
ONOMATOPEE300_097 ほてるからでてきたかっぷるはみょうにてかてかしている
ONOMATOPEE300_098 このしょくぱんはふつうのしょくぱんよりももちもちしていておいしいのでねだんがちょっとたかいけどいつもかう
ONOMATOPEE300_099 たいふうがちかづいているとてれびでいっっていたのをおもいだしたたしかにまどのそとからはざあざあとひどいあめのおとがきこえる
ONOMATOPEE300_100 ふだんはにちにかぞえるほどしかこないおきゃくがれじにわたしひとりのきょうにかぎってわんさかとやってくる
ONOMATOPEE300_101 なつのすずしいかぜにふかれてふうりんがちらりとなった
ONOMATOPEE300_102 たっちぱねるのまえでまごまごしていたおばあちゃんがうしろのわかものからはやくしろとどなられた
ONOMATOPEE300_103 しんれいどうがをみてよるはびくびくしながらといれにいった
ONOMATOPEE300_104 ちょうれいのさいちゅうにうしろのゆうじんからせなかをこちょこちょとくすぐられた
ONOMATOPEE300_105 こうはいがきゅうせいちょうしておちおちしていられなくなった
ONOMATOPEE300_106 かいしゃのじょうしのはなしがあまりにもりふじんだったのでわたしはどうりょうにぶぶもんくをいっってしまった
ONOMATOPEE300_107 いざかやでどんちゃんさわぎすぎてまわりのきゃくからちゅういをうけた
ONOMATOPEE300_108 いっしゅうかんぶりにかえってきたかいぬしにきづいたいぬがぶるんぶるんとしっぽをふりながらでむかえた
ONOMATOPEE300_109 ちかくにゆうめいなはいきょがあったからはじめていってみることにしたいっったしゅんかにからだがなんだかぞくぞくしたわ
ONOMATOPEE300_110 これまでたいせつにまもってきたわたしとかれをつないでいたかんけいのいとがふつりときれてしまったのをかんじた
ONOMATOPEE300_111 らいしゅうははつのかいがいりょこうできぶんはうきうきである
ONOMATOPEE300_112 あつくてじわっとあせをかいてけあがたいへんでした
ONOMATOPEE300_113 ちょうしょくのおかずのだいひょうかくといえばなっとうでおいしいのはもちろんのことそのねばねばにはからだにいいせいぶんがおおくふくまれているのだ
ONOMATOPEE300_114 こねこがこまいぬのよこにちょんとすわっていてそれがとてもかわいくすぐさまいんすたぐらむにあげた
ONOMATOPEE300_115 ていとうがゆらりとゆれるとどこからともなくふしぎなこえがきこえてわたしはそのばからにげだした
ONOMATOPEE300_116 こうこうさいごのしあいでまけてしまってせんしゅたちはくやしさのあまりひとめもはばからずおんおんとないていた
ONOMATOPEE300_117 さいきんずっとねぶそくがつづいていたせいでにっちゅうでもめがとろんとしてしまったのはいけなかった
ONOMATOPEE300_118 おさけをなみなみにそそぐのはやめてほしいっていっっている
ONOMATOPEE300_119 かいねこがのどをふられてごろごろとおとをたててきもちよさそうだった
ONOMATOPEE300_120 ほんわりゆげがへつくらいがちょうどいいとゆうじんはいっっていたがぼくはつめたいほうがすきである
ONOMATOPEE300_121 とあるこうげんでよなかにぼくはぎゅんととうりすぎていくゆふぉをみてしまったはなしをだれもしんじてくれない
ONOMATOPEE300_122 ごめしをどんぶりによそいなっとうやまいもこまかくきざんだおくらなどのねばねばするしょくざいをのせたらねばねばどんぶりのかんせい
ONOMATOPEE300_123 べびぱうだをはたいたらさらさらしたはだになった
ONOMATOPEE300_124 すぱでたくさんかいものをしておもたいにもつをいえまでえっちらおっちらともってかえりました
ONOMATOPEE300_125 しょくせんきのなかでおさらどうしがぶつかりがちゃんとおとがしている
ONOMATOPEE300_126 あのにんはとてもけちくさくてたんまりちょきんをためこんでいるらしい
ONOMATOPEE300_127 ひとごみのなかでかのじょをみうしなってしまったのであたりをきょろきょろみわたしてみるとすぐにみつけられた
ONOMATOPEE300_128 だんなのだいこうぶつはぎぼのとくいりょうりだったくつくつにこみんだにこみはんばぐなのでつぎのきせいでつくりほうをおしえてもらうよていだ
ONOMATOPEE300_129 いつもぼさっとしているのでそのにんはなにをしているにんなのかみんながきになっていた
ONOMATOPEE300_130 べとべとになりながらもあせをながしてなしとげたのちにたべるゆうしょくほどうまいものはないとおもう
ONOMATOPEE300_131 こどもがまいかいわるさをするのでこちんとかるくあたまをたたいてしつけをしてあげないといけない
ONOMATOPEE300_132 なれないことをしたのでどぎまぎしてしまった
ONOMATOPEE300_133 どらまをみているとおもうようにことがすすまないのでいらいらしてくる
ONOMATOPEE300_134 はずかしかったのかすごすごとあしばやにたいさんした
ONOMATOPEE300_135 きのうのよるよふかししてしまったのでじゅぎょうちゅうなのにうとうとしてきた
ONOMATOPEE300_136 もうしんやなのでどんどんとおとをたててあるくのはきんじょめいわくになりますのでやめたほうがよさそうですね
ONOMATOPEE300_137 じかんがなかったのでささっとかるくしょくじをすませた
ONOMATOPEE300_138 むすめがどこでもしるをぺとぺとはってくるのでたいへんこまっているとゆうじんにそうだんしているところだ
ONOMATOPEE300_139 そとでなにかしろいものがゆらゆらとゆれているからふしぎにおもっていたがここはにかいである
ONOMATOPEE300_140 てんきがよかったのでつまがにっちゅうふとんをほしたためふかふかのふとんでねることができます
ONOMATOPEE300_141 じゅけんばんごうがみつからずがくっとかたをおとした
ONOMATOPEE300_142 これいじょうだんじょのごたごたにまきこまれるのはごめんだ
ONOMATOPEE300_143 まんしょんのじょうのかいでじゅうにんがなにかをおとしたらしくがたんとおおきなおとがきこえてきた
ONOMATOPEE300_144 あこがれのせんぱいとぶちょうがあるいているのをみてしまったみてはいけないものをみたきがしておもわずごくりとつばをのみこんだ
ONOMATOPEE300_145 しょうがくせいのときからのかたおもいのあいてにおもいきってこくはくしたがともだちとしかおもえないとふられわんわんないた
ONOMATOPEE300_146 しゅてぃんぐげむをたのしむこつはただひたすらにばんばんとかなをうちおとすことだとおもう
ONOMATOPEE300_147 せかいいさんにしていされたけいしょうちのうつくしいいずみにいってみたらきれいなみずがこんこんとわきでているひょうばんどおりのばしょだった
ONOMATOPEE300_148 めにえるやのせいかあたまがぐるんぐるんまわっているようできもちわるい
ONOMATOPEE300_149 かんがえがまとまらないのかおしだまってつくえをとんとんとゆびでたたいている
ONOMATOPEE300_150 きゅうなさいれんのおとによなかにもかかわらずがたりといきおいよくみをおこしてすぐさまひなんした
ONOMATOPEE300_151 がけのうえからおおいわをころがしているとぼちゃんとおおきなおとをたててうみへとらっかしてしまった
ONOMATOPEE300_152 あしたはまちにまったうんどうかいでわくわくしている
ONOMATOPEE300_153 いいかげんえらいにんのまえでぺこぺこするのをやめたいのだがながねんのしゅうかんでやめることができない
ONOMATOPEE300_154 きのうはかえりみちをとぼとぼあるいていましたね
ONOMATOPEE300_155 そのにしゅるいのえきたいをまぜるとどかんっとばくはつした
ONOMATOPEE300_156 たいふうがきていたのでいえのそとではかぜがごごとふきあれていてとてもおもてにでられなかった
ONOMATOPEE300_157 ゆうじんのひじょうしきなこうどうにはらはらしておちつかなかった
ONOMATOPEE300_158 こんにちはしごとがやすみなのでいえでずっとごろごろしていた
ONOMATOPEE300_159 はいすいこうのぬめぬめとしたところがきもちわるい
ONOMATOPEE300_160 かいしゃのおきょくはわかいじょせいしゃいんにささいなことでがみがみしかるのでみんなからきらわれる
ONOMATOPEE300_161 おしょくぎわくをもたれただいじんはやとうぎいんからのしつようなついきゅうをのらりくらりとかわしてとうべんした
ONOMATOPEE300_162 どこかにこどもがいってしまってとほうにくれていたのですがさがしていたひょっこりでてきてびっくりした
ONOMATOPEE300_163 きんじょでにゃんにゃんとねことおるのしゅうかいがおこなわれている
ONOMATOPEE300_164 ずっとがまんしていたがかのしつれいなことばをおもいだすとふつふつといかりがこみあげてきた
ONOMATOPEE300_165 ははがあつしたふらいぱんのじょうにそっとたまごをおとすとじゅっとおおきなおとをたててあっというまにやけた
ONOMATOPEE300_166 おもいとどまったのかめもをとっていたかみをくしゃっとまるめてしまった
ONOMATOPEE300_167 いぬがしらないにんにけいかいしてきゃんきゃんとほえた
ONOMATOPEE300_168 めのまえにならんだごちそうのかずかずにぼくはおもわずじゅるっとしたなめずりをしてしまったんだ
ONOMATOPEE300_169 おもいにもつをもったしゅんかんにどしんとしりもちをついてしまいました
ONOMATOPEE300_170 たかいびるのかげからふらりとあらわれたおとこのしょうたいはなんとぼくのしょうがっこうじだいのくらすめいとでした
ONOMATOPEE300_171 さいしょにあったときはまだようさがのこるしんにゅうしゃいんだったのにいまやばりばりのきゃりあうまんになった
ONOMATOPEE300_172 ひとつかべをへだててかのじょがしゅるっといふくをきがえていることをそうぞうするとこうふんしてきた
ONOMATOPEE300_173 よいがまわるのがはやいのでおさけをちびちびのむ
ONOMATOPEE300_174 けなみのよいおおきないぬをもふもふしてきもちよかった
ONOMATOPEE300_175 はじめてのとちでもくてきちまでのいきかたがわからずそわそわしてしまった
ONOMATOPEE300_176 いままでだましておいてよくもぬけぬけといえたものだ
ONOMATOPEE300_177 じゅぎょうちゅうにとなりのせきのせいとがくくときもちよさそうにねていた
ONOMATOPEE300_178 かくしたのあいてにまけてわたしのぷらいどはずたずたになった
ONOMATOPEE300_179 かのじょのむねをはじめてみたときぺったんというかんそうしかおもいうかばなくてことばにつまってしまった
ONOMATOPEE300_180 いいにくいこともずけずけといえるせいかくはうらやましくもある
ONOMATOPEE300_181 なんどもちゅういするがたいどをあらためないこうはいにがつんといっってやる
ONOMATOPEE300_182 さらっとしたかのじょのかみがきれいでほれてしまった
ONOMATOPEE300_183 どうろがこごってつるつるになったのできをつけてあるく
ONOMATOPEE300_184 わかいかっぷるがなかよくあんとたべさせてあげている
ONOMATOPEE300_185 なっとくできていないのかこごえでごにょごにょとくちごもっている
ONOMATOPEE300_186 このみせのうどんはめんにしこしことこしがあっておいしい
ONOMATOPEE300_187 じてんしゃのたいやにささったくぎをひきぬくとぷしゅとおとをたててくうきがぬけてしまった
ONOMATOPEE300_188 じぐそぱずるをといていていれるばしょがわからないぴすがあったがゆうじんがてきとうなところにおいたらすぽっとはまった
ONOMATOPEE300_189 いけめんがおんなのこのあたまをぽんぽんするのはゆるされるけどそれいがいのおとこがやるとつみになるってしらなかった
ONOMATOPEE300_190 ばきばきにきたえたきんにくでかれはきんにくこんくるにちょうんでみごとにゆうしょうのえいよにありつけたのだった
ONOMATOPEE300_191 このわいんはあまくないのでごくごくのめてしまう
ONOMATOPEE300_192 いぬがわんわんほえていたのでおじいさんがそのばしょをほるとこばんがざっくざっくでてきました
ONOMATOPEE300_193 あげものりょうりをしたためこんろまわりがあぶらでぎとぎとになった
ONOMATOPEE300_194 ゆうじんのえにかしたきんをかえしてもらおうとなんどもさいそくしてみたがそのどにのらりくらりとりゆうをつけてにげられる
ONOMATOPEE300_195 くらいよみちをおんながひとりいえじをいそいでいたがそのはいごからあやしいひとかげがひたひたとせまりくるのにきづいてはいなかった
ONOMATOPEE300_196 ほんばんでどわすれしないかしんぱいだったがじっさいにはすらすらとしゃべることができた
ONOMATOPEE300_197 あさのてんきよほうでははれだったはずだがゆうがたからおりだしたあめはよるにはざんざんおりになっていた
ONOMATOPEE300_198 やすいけしょうひんをつかうとかおにあかいぷつぷつができてしまいはだとらぶるをなおすのがたいへんです
ONOMATOPEE300_199 ここでまけるとのちがないことをみなしっていたのでぴりぴりとしたくうきがあたりにたちこめました
ONOMATOPEE300_200 あさからたいちょうがわるくいのあたりがきりきりといたむ
ONOMATOPEE300_201 むすこがおねしょをしてふとんがぐっしょりぬれてしまった
ONOMATOPEE300_202 とれにんぐをおえてとてものどがかついていたのでわたしはみずをごっくごっくとのどをならしながらのんだ
ONOMATOPEE300_203 うなぎのみためはにゅるにゅるしていてあまりすきじゃない
ONOMATOPEE300_204 かのじょのたんじょうびぱてぃでつかうためにしゃらしゃらとしたかざりをとてもたくさんかってきました
ONOMATOPEE300_205 きのうぼるをなげすぎたせいかかたがずきっといたむ
ONOMATOPEE300_206 たべものがぼとりとおちてしまいしゅういはちんもくにつつまれたがおとしたほんにんはれいせいにおとしたものをひろった
ONOMATOPEE300_207 とつぜんあらわれたどうぶつをみてまわりのにんがぎゃぎゃさわいだ
ONOMATOPEE300_208 がっこうでふだんはぼっとしているくせにこういうときだけきりりとしたかおつきになるのはひきょうだ
ONOMATOPEE300_209 かのじょにふりまわされてもうぼくはたじたじだ
ONOMATOPEE300_210 なにがいっっているのかわからないがこのたまごやきはなぜかもちもちしたしょくかんをしているのだ
ONOMATOPEE300_211 まえのくるまはとろとろとはしっているとおもっていたがじぶんがそくどをだしすぎていただけなのかもしれない
ONOMATOPEE300_212 きゅうなさかみちをはしったらあしががくがくしてつかれた
ONOMATOPEE300_213 きのとおくなるようなながいろうかをみんなでぞうきんかけしてぴっかぴかにみがきあげてみせました
ONOMATOPEE300_214 かのじょはがっぷりよつのよこづなずもうにみいった
ONOMATOPEE300_215 すけじゅるがおくれにおくれてひじょうにせっぱつまっているありさまでもうあっぷあっぷのじょうたいである
ONOMATOPEE300_216 おおあめのなかかさをささずにかえってきたのでふくがぐしょぐしょにぬれた
ONOMATOPEE300_217 ちいさなだんじょのこどもがくすくすわらいあっていた
ONOMATOPEE300_218 こどもがあそびつかれてあさまでぐっすりねていた
ONOMATOPEE300_219 きのうはいちにちじゅうつらいたちしごとだったのでけさはあしとかおがぱんぱんにふしゅんでいてはずかしかった
ONOMATOPEE300_220 しゅっちょうからもどりじぶんをでむかえてくれるのはつまでもかのじょでもなくへやにこもるもわっとしたくうきだった
ONOMATOPEE300_221 とんねるをほればいっちょくせんでいけるところだったがとうじはそのぎじゅつがなかったのでやますそをぐるりとまわるようにけんせつされた
ONOMATOPEE300_222 らいばるであるかのじょがめきめきとじょうたつしているのをみてわたしもまけていられないなとおもいました
ONOMATOPEE300_223 ずぼんのうえすとがおおきすぎるのでべるとがないとずるっとずりおちてはずかしいおもいをします
ONOMATOPEE300_224 どをこえたれんじつのかこくなぎょうむにわたしのにんたいふくろはばくはつすんぜんだがつかれからぱたんとたおれてそのままじゅくすいした
ONOMATOPEE300_225 おおけができゅうきゅうしゃでびょういんにはこばれたそふですがたずねてみるとぴんぴんしてげんきそうなのであんしんしました
ONOMATOPEE300_226 やせすぎでなよなよしてみえるのできんにくをつけたい
ONOMATOPEE300_227 つよくしかりすぎたのかおちこんでしゅんとしてしまった
ONOMATOPEE300_228 こくはくをしっぱいしたゆうじんがいじいじしているのできばらしにあそびにさそった
ONOMATOPEE300_229 ひとまえですぴちをするのはとてもきんちょうするそんなときはふっといっかいしんこきゅうをすればだいじょうぶだ
ONOMATOPEE300_230 あかちゃんがおぎゃとなきながらげんきよくうまれてきました
ONOMATOPEE300_231 まいくこしのぼくのはつげんでかいじょうじゅうがどよどよしている
ONOMATOPEE300_232 とつぜんつっとせなかをなぞるのはおかんがはしるからやめてくれとひごろからいっっているのだ
ONOMATOPEE300_233 つぎのでんしゃにのりおくれるとちこくをするのでえきまでいそいではしったらなんとかぎりぎりででんしゃにまにあった
ONOMATOPEE300_234 わたしのていあんをけちょんけちょんにいわれてしまった
ONOMATOPEE300_235 わかれたかれしがあたらしいかのじょをつくったとききこころにちくりとしたいたみがはしった
ONOMATOPEE300_236 もちてがふとくなれないおおきなおおきなのこぎりでふといまるたをぎこぎことふたつにきりわける
ONOMATOPEE300_237 いたいところをしつもんされしどろもどろのとうべんをしてしまった
ONOMATOPEE300_238 やさいがにがてなこどもでもちょうみりょうをくふうすればどんなりょうりもよろこんでぱくぱくたべてくれるようになる
ONOMATOPEE300_239 きのうすぱのせるでかったたおるはやすかったがひんしつがわるくごわごわしていてはだざわりがわるい
ONOMATOPEE300_240 まいにちうでたててふせをやっているのできんにくがかっちかちだ
ONOMATOPEE300_241 えんがわでねこがひゅうがぼっこをしていてぽかぽかきもちよさそうだ
ONOMATOPEE300_242 にんにかくれていどうするのはのそりのそりとおとをたてずにいどうしなければならないのだった
ONOMATOPEE300_243 でんしゃがしんじゅくえきについてにんがどかどかとのってきた
ONOMATOPEE300_244 どうにかかいだんをのぼりきったかのじょはつかれたからだにむちうってながいろうかをよたよたとあるきつづけた
ONOMATOPEE300_245 よるのやまのなかにひっそりたたずむそのようかんにたどりついたときにせなかにおかんがはしりました
ONOMATOPEE300_246 おせんべいのふくろがひらいていたのでなかみがかちかちになっていました
ONOMATOPEE300_247 じろりとしためつきがいんしょうてきだったがはなしてみるとものごしのやわらかいにんだった
ONOMATOPEE300_248 そのちょうこくをもったときにずっしりとしたおもさをかんじた
ONOMATOPEE300_249 もっさいかみをばっさりしょとにいめちぇんしたところなんだかきゅうにもてはじめちゃったよ
ONOMATOPEE300_250 あいのこくはくにひていをしたらがくりとかたをおとしてさっていった
ONOMATOPEE300_251 きんじょでかじがおこったらしくめらめらとあかいほのおがあがっていてけむりがそらたかくあがっている
ONOMATOPEE300_252 おさけをこっぷいっぱいにとぷとぷとついでいった
ONOMATOPEE300_253 しそうのうろうのせいかさいきんはがぐらぐらしてきた
ONOMATOPEE300_254 いえにいてもすることがなくてたいくつなのできぶんてんかんにぶらりとさんぽにでかけることにした
ONOMATOPEE300_255 おきにいりのてぃかっぷをそうっともったとたんにがしゃりとおとをたててわれてしまいとてもしょっくだった
ONOMATOPEE300_256 こんにちはしごとがいそがしかったのでよるはぐっすりねむれそうです
ONOMATOPEE300_257 ねんざしてはれたあしがじんじんとねつをもっていたい
ONOMATOPEE300_258 なつのえんてんかにほうちしていたくるまのどあをひらけるとなかからもわっとしたくうきがながれてきた
ONOMATOPEE300_259 いぬがあそんでほしくてきゅんとあまえたこえでないた
ONOMATOPEE300_260 とぽとぽとあるいているとでんちゅうにぶつかってしまった
ONOMATOPEE300_261 なつのすずしいかぜにふかれてふうりんがちりんとなった
ONOMATOPEE300_262 からだがやせていぜんはいていたずぼんがするするおちてしまう
ONOMATOPEE300_263 けんかべつれしたゆうじんをむししたらがしっとかたをつかまれた
ONOMATOPEE300_264 おちつきのないかれはちょこまかとあるきまわることでじぶんをごまかしていた
ONOMATOPEE300_265 どなべでたいたごめしはまたかくべつでねばりとかんみがきわたつのでほかほかとあたたかいうちにたべたいものです
ONOMATOPEE300_266 はいすいこうのせんをぬくとごぽごぽとうずまきくようにすいこまれていった
ONOMATOPEE300_267 かのじょはどろどろのえきたいをすべてのみほしてくれた
ONOMATOPEE300_268 あまりのできごとにかれはくちをあんぐりひらけておどろいている
ONOMATOPEE300_269 てぶるまなをしらないのでわたしはすぷをずずっとおとをたててのんでしまいました
