BASIC5000_0001 みずをまれしあからかわなくてはならないのです
BASIC5000_0067 みてぃんぐにあなをあけてしまったことにたいしさいどおわびします
BASIC5000_0068 ひゅうがにすわっているのにわたしはまださむけがした
BASIC5000_0069 みんはさくやともだちにでんわをかけました
BASIC5000_0070 ぶんせきにおいてはくるつによってさいしょにぶんせきされたけんいてきこうどうのるいけいにおっているぶぶんがおおきい
BASIC5000_0071 さよならをいわなければなりません
BASIC5000_0072 さらによこからみるとまえばはでっぱのじょうたいにあります
BASIC5000_0073 さりげなくさとしいこのこにはうかつなことはとてもいえない
BASIC5000_0074 じょうだんにしろきょうふからにしろけっしてうそをいうな
BASIC5000_0075 さもないとひぐれのまえにそこにつけないでしょう
BASIC5000_0076 ひしゃたいにきづかれないようにそぉっとかめらをとりだしふぁいんだをのぞく
BASIC5000_0077 やみよにてっぽうじゃあるまいしそんなばあたりてきなやりほうでうまくいくとはおもえないよ
BASIC5000_0078 さんざんせわをしたのになんのあいさつもない
BASIC5000_0079 たいへいようはせかいでいちばんおおきなたいようです
BASIC5000_0080 じょうきゅうかんりしょくはぶかのきょういくにおおくのじかんをついやす
BASIC5000_0081 ぜんぶのがくせいがそこへいったわけではない
BASIC5000_0082 おんかいのみものをごよういしましょうか
BASIC5000_0083 がっとのしんけつぎあんはかなりのしょうげきをあたえるかのうせいがあります
BASIC5000_0084 じこくのことばについていくらかしってもしりすぎることはない
BASIC5000_0085 ぶんめいはいまやかくせんそうにきょうかされている
BASIC5000_0086 せんせいがくはかがくてきなこんきょもないのにとてもにんきがあってせんせいがくはしんじているにんがおおいようです
BASIC5000_0087 あんのじょうあのぎょうしゃきょうになってなきついてきたよ
BASIC5000_0088 せいめいのみことさをかんがえたことのないにんはいがくをこころざすべきではない
BASIC5000_0089 がるふぽとでいちばんのふらいどちきんといっったらそれはもうおばあちゃんのだいどころですよ
BASIC5000_0090 がりれおはふたつのてつのたまをとうのてっぺんからおとした
BASIC5000_0091 がらすのはちはこなごなになってしまった
BASIC5000_0092 ぼうとはひろばからきょうせいてきにはいじょされた
BASIC5000_0093 しょたいけんのあいてはとしうえのじょせいだった
BASIC5000_0094 だきょうするのはわたしのしゅぎにはんしている
BASIC5000_0095 けいざいがくのほんをごさつろんどんにちゅうもんした
BASIC5000_0096 がでんふぇんすをしきゅうはいたつしてください
BASIC5000_0097 がんはあるたねのういるすとかんけいがあるかもしれない
BASIC5000_0098 すべてをすててこのれすとらんをやるもくてきはひとつだけでした
BASIC5000_0099 うわやくにはんたいすることはかれもゆうきのあるおとこだ
BASIC5000_0100 たなをかたづけなさいそうすればほんをそこへおけます
BASIC5000_0101 ざっとみつもってそのしごとはにしゅうかんかかるだろう
BASIC5000_0102 ちゅうしょくのためじゅうにじからいちじまでいちじかんのやすみがある
BASIC5000_0103 しゃちゅうにはすくなくともごにんのじょうきゃくがいました
BASIC5000_0104 ぞうかするじゅようにおうじるためあめりかからぎゅうにくをついかするけいかくだ
BASIC5000_0105 しゃりょうはけっかんがないかさいていさんがつにいっかいけんさされる
BASIC5000_0106 なんじじしんにしんじつであれなんじみずからたにんにいつわりなきごとく
BASIC5000_0107 きょうざめのにんもよくしるようになるとかならずしもふかいではない
BASIC5000_0108 かんだんないぶっかじょうしょうのけっかしゃかいふあんがおこるかもしれない
BASIC5000_0109 ふくろはとうもろこしではちきれそうだった
BASIC5000_0110 にやりとわらってさんせいのいしをしめした
BASIC5000_0111 さいごのしゅだんとしてはいつでもしょくをやめられるとかれはかんがえた
BASIC5000_0112 にわとりがたべものをさがしていました
BASIC5000_0113 まったくぐうぜんにわたしはむかしのゆうじんとくうこうでであった
BASIC5000_0114 さんねんというはながいじかんだとわたしはおもう
BASIC5000_0115 にんにくをようじんしてたべればためになる
BASIC5000_0116 ふゆばにあたたかいかっこうをしていないとけっきょくひどいかぜをひくはめになる
BASIC5000_0117 しゅみはにちじょうせいかつのくろうをわすれさせてくれる
BASIC5000_0118 きょうしはせいとがしけんでかんにんぐをしているのをみつけた
BASIC5000_0119 てちょうにおなまえをかいていただけませんか
BASIC5000_0120 こうちょうはそつぎょうせいひとりひとりとあくしゅをした
BASIC5000_0121 やまだくんはじぶんのぼすにたいするいかりをおさえようとつとめた
BASIC5000_0122 えんぴつはいちだすたんいでうられている
BASIC5000_0123 たたかいはしいものがかつとはかぎらない
BASIC5000_0124 いっぽんのたかいきがすいめんにながいかげをうつしている
BASIC5000_0125 よさんはふせいかくでしかもひげんじつてきにおもえる
BASIC5000_0126 いまわたしはふるとにむちゅうになってきている
BASIC5000_0127 かかりちょうがきゅうにやめてしまったのでわたしがそのあなをうめなければならなくなった
BASIC5000_0128 かかりいんがうなずいたのでかのじょはこぎってをかきそれをてわたした
BASIC5000_0129 まつりつかさはひとびとをどうとくてきにたかめようとした
BASIC5000_0130 ほうげきはますますはげしくなってきたのでわたしたちはしってちかしつにおりていったのよ
BASIC5000_0131 いまひとりのおんなのひとがはいっていきましたよ
BASIC5000_0132 あしをみずにつけてよごれをおとしなさい
BASIC5000_0133 ふかっぱつなこどもはくうそうのせかいにとじこもるけいこうがずっとたかい
BASIC5000_0134 ごがつぶんのぴるくださいといってわかりましたといわれた
BASIC5000_0135 がっぴがどんどんすぎていったがかのしょうそくはなにもきこえてこなかった
BASIC5000_0136 ちなみにそれはこのはなしのごじつだんにするよていです
BASIC5000_0137 とうじょうじんぶつがうまくわりふられていた
BASIC5000_0138 いっちだんけつしてなにかあたらしいことをやろうじゃないか
BASIC5000_0139 きょうしゅくですがにがつにじゅうななにちのやくそくをきゃんせるさせてください
BASIC5000_0140 おげんきでおすごしのこととおもいます
BASIC5000_0141 かみなりがいまにもおちそうなはげしいおとでごろごろとなった
BASIC5000_0142 おにいさんをこきゅうさせるためにいしゃにそのきかいをつかってもらいたいとおもいますか
BASIC5000_0143 かんもなくふろはかれがいれるほどぬるくなりました
BASIC5000_0144 がつりょこうなんてかつてはとほうもないこととかんがえられた
BASIC5000_0145 ごまいるはぴくにっくにてきしたきょりだ
BASIC5000_0146 かみなりにおどろいたきょうこがおれにしがみついてきた
BASIC5000_0147 おおかみがいぬににているようにおべっかつかいはともだちのようにみえる
BASIC5000_0148 ごどるぐらいしかもちあわせがない
BASIC5000_0149 ばんごうをきれいさっぱりわすれてしまった
BASIC5000_0150 けんびきょうとぼうえんきょうのちがいがわかりますか
BASIC5000_0151 みなみあふりかせいふはもはやこくじんにびょうどうのこうみんけんをもとめるうんどうをよくせいできない
BASIC5000_0152 しかごいきのびんをよやくしたいのですが
BASIC5000_0153 まずしいからというだけでにんをけいべつするべきではない
BASIC5000_0154 さいかいはつによってちいきにべんえきがしょうずる
BASIC5000_0155 とうちゃくするまえにえいががはじまってしまうんでしょうね
BASIC5000_0156 あくふざけをするとおんなのこにきらわれるよ
BASIC5000_0157 さんばんめにこうりょすべきことがらはかぺっとのじだいせいである
BASIC5000_0158 りょうしはつりあげたさかなのおおきさをおおげさにいった
BASIC5000_0159 りょきゃくはほどうきょうをつかってろせんをわたってください
BASIC5000_0160 あくはおこなうにやさしくてそのかたちからだもむげんである
BASIC5000_0161 じゅうをそうじしていたらとつぜんぼうはつしてしまった
BASIC5000_0162 みんしゅしゅぎではこくみんはちょくせつせいふのやくにんをえらぶ
BASIC5000_0163 わるいどうろをがくんがくんとはしっていくじどうしゃ
BASIC5000_0164 のうみんたちはよいりんごとふりょうひんをせんべつする
BASIC5000_0165 おんどくはかれにとってたいへんほねのおれるしごとであった
BASIC5000_0166 わるかったけれどもあのていどならまだましだった
BASIC5000_0167 ばくすげんしゃのけんきゅうしょでしんやくのしけんがおこなわれた
BASIC5000_0168 あなたまかせにしないでじぶんでせきにんをもってやってください
BASIC5000_0169 ばいきんぐのほうがころんぶすよりさきにあめりかをはっけんしたといわれている
BASIC5000_0170 きゅうをようすることだからいそいでください
BASIC5000_0171 ばたはいちぽんどいくらでうられる
BASIC5000_0172 ばすのびんがなかったのでわたしたちはえきまでずっとあるかなければならなかった
BASIC5000_0173 ぐっすりねむったのちはずっときぶんがよい
BASIC5000_0174 うえしにするくらいならおぼれしんだほうがましだ
BASIC5000_0175 ばけつにみずをいっぱいくんでもってこなさい
BASIC5000_0176 ばぐだかなんだかわかんないけどこのそふとはちゃんとうごかない
BASIC5000_0177 ちがいがいろいろあるにもかかわらずじょんとあんはともだちどうしでいる
BASIC5000_0178 ぐずぐずしていたためにたかいほてるにひとばんとまらざるをえなくなった
BASIC5000_0179 そうしきにはくろいふくをきていくのがしゅうかんです
BASIC5000_0180 ぐあいがわるかったけどしごとにいった
BASIC5000_0181 だいぎみんしゅせいはひとつのせいじけいたいである
BASIC5000_0182 よろいをつけているにんはころぶとおおきなおとがする
BASIC5000_0183 さいばいにてきしたどじょうをえるにはたがやさなければならない
BASIC5000_0184 すうふんかんおじかんをさいていただけますか
BASIC5000_0185 げんきんばらいいにはじゅっぱせんとわりびいたします
BASIC5000_0186 めろすはけっしてうそつきではない
BASIC5000_0187 みしらぬにんがちかよってきてわたしにじこくをたずねた
BASIC5000_0188 めりのにこやかなかおはかのじょのしあわせをあらわしていた
BASIC5000_0189 みためにはやさしそうだけどかれってみなからそとじゅうないつよしのけっこうなたふねごしえたといわれているよ
BASIC5000_0190 めもにはみずにうかぶれんしゅうをさせるようにとなぐりがきされていた
BASIC5000_0191 めるであなたとおしゃべりがしたいわ
BASIC5000_0192 ちじんがふえればふえるほどそれだけあうじかんがすくなくなる
BASIC5000_0193 ごかぞくもごいっしょにつれてこられたのですか
BASIC5000_0194 しょるいはかってにいじられたけいせきがあった
BASIC5000_0195 めんばのだれかがくんにさんせいしていますか
BASIC5000_0196 みおろすとたくさんびるがみえた
BASIC5000_0197 あるこうとするとここがずきんとします
BASIC5000_0198 ちじはあたらしいはしのてぷかっとをした
BASIC5000_0199 めにゅをみせていただけませんか
BASIC5000_0200 めでぃあがぞうおのこんせきをやすうりする
BASIC5000_0201 ぎわくをもたないしんねんはしんだしんねんである
BASIC5000_0202 めっせじがなぜかもじばけしていたのでしゅうふくしてよみました
BASIC5000_0203 きんきゅうのばあいはひゃくじゅうきゅうばんにでんわしなさい
BASIC5000_0204 としうえのおとこのことおるがかれにいつもいたずらばかりしている
BASIC5000_0205 みてそのわかいじょせいはろうじんにおいかけられる
BASIC5000_0206 あるいていくのそれともばすでいくの
BASIC5000_0207 あるきましょうかそれともばすでいきますか
BASIC5000_0208 はだのしょくのいかんをとわずかれはばんにんのげんろんのじゆうをようごした
BASIC5000_0209 ざんびあはあふりかのくにだからあなたかたはきこうがとてもあついのではないかとおもうかもしれませんね
BASIC5000_0210 ざっとたきのようにあめがふってきた
BASIC5000_0211 ざべすとてんにらんくいんしたきょくをすべてしょうかいします
BASIC5000_0212 こかげにおばあさんがいるのがみえる
BASIC5000_0213 てきすとでたのごじだつじをしゅうせい
BASIC5000_0214 じゅうきめかはしょうかきによるぼうりょくじけんにたいするせきにんをのがれてきた
BASIC5000_0215 せいれんけっぱくできこえたかれがおしょくなんかにてをそめるわけない
BASIC5000_0216 はだがひりつくどころかつかうまえよりはだがあんていしてるんです
BASIC5000_0217 げんだいのしゃかいもんだいはますますふくざつかするけいこうがある
BASIC5000_0218 ろくがつなのかはなんじがしゅうごうがいいですか
BASIC5000_0219 なんしゅうかんもよいてんきだったあとであめがふった
BASIC5000_0220 まいあさかならずてんきよほうをみてからがいしゅつします
BASIC5000_0221 すぎもとふじんはいつもこぎれいなきものをきている
BASIC5000_0222 くがつにふくがくすることをかれはせつぼうした
BASIC5000_0223 じゃりをせめんとでかためるひつようがある
BASIC5000_0224 ふくろうはとてもかしこいとかんがえられている
BASIC5000_0225 めんぜんでにんをほめるようなにんをしんようするな
BASIC5000_0226 ちきゅうのひょうめんのやくさんぷんのいちがりくちである
BASIC5000_0227 ひざしはあつくてかれらはつかれていました
BASIC5000_0228 ごせんえんあればこのじしょをかうのにじゅうぶんだ
BASIC5000_0229 こくないしじょうのきょうそうはすさまじいものです
BASIC5000_0230 ひろせはかせはえいずのけんきゅうにたずさわっている
BASIC5000_0231 よせいはじぶんのりそうのついきゅうについやしたい
BASIC5000_0232 くるまいすのじょせいすぱにたてこもる
BASIC5000_0233 ははがちゅうしょくにわたしたちにちずさんどをつくってくれた
BASIC5000_0234 いちがつさんじゅうにちさんじゅういちにちはそうしきのためやすみます
BASIC5000_0235 はははわたしののぞむものはなんでもいわなくてもかなえてくれる
BASIC5000_0236 ははにこのせたをつくろってもらった
BASIC5000_0237 おたよりたのしみにおまちしております
BASIC5000_0238 せいおうしょこくはこのもんだいにたいするにっぽんのしせいをはげしくひなんしています
BASIC5000_0239 ぬかるんだみちであしをとられてころびそうになった
BASIC5000_0240 ふへんふとうのせいしんでなどとかっこつけているけどけっきょくのところじぶんのいけんをもっていないだけじゃないの
BASIC5000_0241 なしなはかせいぶでおもにようさいをやっている
BASIC5000_0242 つみにのばらんすがとれなくてふねはてんぷくした
BASIC5000_0243 べんしょうだいきっちりみみそろえてはらわんかい
BASIC5000_0244 くれるのではなくたいよだそうです
BASIC5000_0245 くるにちもくるにちもおなじようにすぎさった
BASIC5000_0246 きずからながれるちをなんとかしなさい
BASIC5000_0247 まつおとうとはわるくないかもしれないけれどわたしもわるくない
BASIC5000_0248 わたしせんようのへやがあればいいのですが
BASIC5000_0249 はしがこわれていたのでおよぐしかなかった
BASIC5000_0250 うえきばちがほどうにおちてがちゃんとわれた
BASIC5000_0251 えんそうかいのきっぷはとうじむしょではんばいしています
BASIC5000_0252 しじょうかかくのぼうらくでいちぶんなしになってしまった
BASIC5000_0253 おんなというものはなんでもおきんにかんさんしてかんがえる
BASIC5000_0254 おんなはてぶるのないふにてをのばした
BASIC5000_0255 おんなのこはいいふくをみせびらかすのがすきだ
BASIC5000_0256 はしでそのしまへわたれるようになっている
BASIC5000_0257 はしのじょうにたっているにんをしっていますか
BASIC5000_0258 へいじつはひかくてきこんでいないようです
BASIC5000_0259 しょうじょはにんぎょうをいとしげにだきしめた
BASIC5000_0260 くさりのつよさはそのかんのいちばんよわいところにさゆうされる
BASIC5000_0261 かみをとじるのにほちきすはとてもべんりだ
BASIC5000_0262 みじかくしてもらわなければなりません
BASIC5000_0263 かべはぬりかえなければなりませんか
BASIC5000_0264 せっとくふのうをかんちしてかくろさきせんせいはためいきをついてせきについた
BASIC5000_0265 かいたくしゃとおるはつらいせいかつをしたしかれらのこどももそうだった
BASIC5000_0266 みじかいてがみでもいいからきっとかいてね
BASIC5000_0267 ふくめんをしたおとこたちがりょきゃくをおそってきんをうばった
BASIC5000_0268 はじをかくくらいならしんだほうがましだ
BASIC5000_0269 しんこくなききがしょうじればせいふはじんそくなこうどうをとらなければならない
BASIC5000_0270 はんざつなてつづきをすませふねがていじにしゅっこうできるためにはとくべつのじょうにもとくべつなはからいがどうしてもひつようである
BASIC5000_0271 だいりにんではなくあなたほんにんがきてください
BASIC5000_0272 しょうだんにいるまえにすこしざつだんでもしましょう
BASIC5000_0273 ごかいをへらすためにはわたしたちはじょうずにいしのそつうをはかるぎじゅつをみにつけなければならない
BASIC5000_0274 いっぱつでめいちゅうしなくたってにんしんするまではめつづければいいだけだし
BASIC5000_0275 しきさいはめにうつるあらゆるもののうちでもっともしんせいなようそである
BASIC5000_0276 ぎょうかいのけんぜんなせいちょうのためにこうせいなきょうそうがかくほされるひつようがある
BASIC5000_0277 ぜんしゃかいにんのほとんどさんぶんのいちのにんがめがねをかけている
BASIC5000_0278 きむらはかせからあなたがこのぶんやのだいいちにんしゃだとうかがいました
BASIC5000_0279 もんのところにあなたにあいたがっているだんせいがいる
BASIC5000_0280 ざんきんはろくがつさんじゅうにちまでにおしはらいします
BASIC5000_0281 よふかしをしたのでとてもねむいんだ
BASIC5000_0282 すうにんのわかいぎしがやとわれかれらはあたらしいこんぴゅたのかいはつにせんねんした
BASIC5000_0283 とりだったらすぐそこにとんでいくのに
BASIC5000_0284 こんしゅうまつまでいくらかおきんをかしてくれませんか
BASIC5000_0285 とりであったらあなたのもとへとんでいっただろうに
BASIC5000_0286 とりはそのなきごえでわかるようにはなしかたによってにんげんはひょうかされる
BASIC5000_0287 とりのようにおもいのままにそらをとびたいというよくぼうがひこうきのはつめいにつながった
BASIC5000_0288 ゆうじょうをつちかうのにすぽつはこうかてきだ
BASIC5000_0289 もんからいりかけていたふじんとそのもんばんにやめられた
BASIC5000_0290 かこいこみにかんするようてんはえすにっくぐるぷのこうせいをめいかくにきじゅつしなければならないということである
BASIC5000_0291 とりたちはそのねこをみるとびっくりしてとびさった
BASIC5000_0292 にかいからとらんくをふろしてくれませんか
BASIC5000_0293 きどりのないそのがくしゃはみなにあいされていた
BASIC5000_0294 だいがくにいっっていることがわたしのじんせいのもくひょうではない
BASIC5000_0295 くさくさすることばっかりだけどきをとりなおしてがんばっていきましょう
BASIC5000_0296 とりがじぶんのひなにえさをやったりまもったりするのとはちがってさかなはたまごをうみっぱなしにする
BASIC5000_0297 ごいちぎょうさまはなんめいでいらっしゃいますか
BASIC5000_0298 やみのなかでかろうじてふたりのひとかげがみわけられた
BASIC5000_0299 さんかんぶではゆきがごじゅっせんちいじょうふった
BASIC5000_0300 ごりょうしんにどうぞよろしくおつたえください
BASIC5000_0301 ごしゅじんのけんこうしんだんをてっていてきにおこなうことをすすめます
BASIC5000_0302 がんのこうかてきなちりょうほうはまだはっけんされていない
BASIC5000_0303 がんははっけんがまにあえばなおすことができる
BASIC5000_0304 いちめんのきいろはどうはんもしたのかけんとうもつかないひまわりのむれだ
BASIC5000_0305 しゅうだんせいかつをいとなむどうぶつはすべてじょうほうをこうかんしたりちつじょあるしゅうだんをいじするためなんらかのでんたつほうほうをもっている
BASIC5000_0306 ほんろんぶんではだいあどすたいるというがいねんおよびびじゅつにあたえたえいきょうをけんとうしたい
BASIC5000_0307 むらさきのじゅうたんはこのあかいかてんとちょうわしないだろう
BASIC5000_0308 ごかいへはえれべたでいきなさい
BASIC5000_0309 のうえんしゅはかれらをいそがしくさせておくのがすきだったのです
BASIC5000_0310 ごじゆうにでざとをおとりください
BASIC5000_0311 れいせんはそびえとのほうかいとともにおわった
BASIC5000_0312 しゅうでんにのるためにえきへいそがなければならない
BASIC5000_0313 わからないところはあかでしるしをつけてじゅぎょうできいてください
BASIC5000_0314 わがくにはえねるぎしげんがふそくしてきた
BASIC5000_0315 わあわあなきながらちいさなおんなのこはとぐちへはしっていった
BASIC5000_0316 どうきがはげしくなることがよくあります
BASIC5000_0317 わずかろっかげつごにさいしょのしごとをやめるとしたらおろかとはいわないまでもかしこいとはいえない
BASIC5000_0318 わたしはてがみでがんしょをおくるようきめた
BASIC5000_0319 こおりはひじょうにうすいのでくんのたいじゅうをささえきれないだろう
BASIC5000_0320 こおりのようにつめたいみずのなかでおよごうとするなんてかれもむちゃなことをしたものだ
BASIC5000_0321 わざわざでんわをかけてくださらなくてけっこうです
BASIC5000_0322 こうしゅうのめんぜんにすがたをみせなければならないのがえんだった
BASIC5000_0323 こおりがないそのうえこんにちはあいすてぃをのむにはさむすぎる
BASIC5000_0324 せいけいをたてるためにしっかりはたらきなさい
BASIC5000_0325 わびをいれるならはやいほうがいいだろう
BASIC5000_0326 せんすいおっとはきけんなくしんじゅをあつめることができる
BASIC5000_0327 ねむいときはこひをのんできぶんてんかんしてごらん
BASIC5000_0328 ねむかったけれどもしゅくだいをおわらすことができた
BASIC5000_0329 ねむくないからというだけでおそくまでおきていてはいけない
BASIC5000_0330 ぎこちないわらいをしたてんいんがこたえた
BASIC5000_0331 ぎざぎざのかどがかのずぼんにひっかかってあなをあけた
BASIC5000_0332 むせいしおんにこれらのきせいをてきようすることはてきせつだとおもわれる
BASIC5000_0333 すうがくとえいごではかれはくらすのだれにもおとらない
BASIC5000_0334 おへんじがこないのですがわたしのめるがとどかなかったのではないかときになっています
BASIC5000_0335 ねむっているあかんぼうをおこさないようにちゅういしなさい
BASIC5000_0336 ひめはめをとじてよこたわっておられた
BASIC5000_0337 すうじをたしたりひいたりというめんどうくさいしごともいったんはじめてしまえばそれはそれでおもしろさがあるものだよ
BASIC5000_0338 とらはしょうめつしかかっているしゅぞくである
BASIC5000_0339 さんがくきゅうじょたいはにじゅうよじかんたいきしている
BASIC5000_0340 つまをなくしてかれはみもよもないほどにかなしんだ
BASIC5000_0341 すんでしまったことをああだこうだいっってもどうにもならないだろう
BASIC5000_0342 さっきゅうにこのもんだいについてぎろんするひつようがある
BASIC5000_0343 さくやかれはじぇんといっしょにぱてぃにきた
BASIC5000_0344 めんぜいてんではかいものはひとつもしませんでした
BASIC5000_0345 こんにちはいろいろとありがとうございました
BASIC5000_0346 ゆうかんになんきょくにたちむかいそのけっかはかみのしんぱんにまつほかはほういからのがれるほうほうはない
BASIC5000_0347 がんばれさえすればたいりょくやちりょくがなくてもなんでもできるといういっしゅのせいしんしゅぎもある
BASIC5000_0348 ずっとむこうのとおいところにまちのあかりがみえました
BASIC5000_0349 とのぶんぱいはこうへいでなければならないとかれらはいう
BASIC5000_0350 とみはただそれだけではたいしたものではない
BASIC5000_0351 げきのこっけいなばめんはやりすぎであった
BASIC5000_0352 げきはだいたいにおいてとてもうまくいった
BASIC5000_0353 ちきゅうじょうのばんぶつはげんしからなっている
BASIC5000_0354 ずばぬけたちゃくそうというのはおうおうにしててんけいのごとくひらめくようだ
BASIC5000_0355 ひゃっかじてんをかいたいというごかんしんはありますか
BASIC5000_0356 ずいぶんながいかんおめにかかりませんでした
BASIC5000_0357 せんせんふこくにいたるまでのじきはこのようなじょうきょうであったといえる
BASIC5000_0358 とわだこはそのうつくしさでゆうめいである
BASIC5000_0359 すずめのなみだほどのきゅうりょうではなんのやくにもたたない
BASIC5000_0360 みんながねむってしまったのがわかった
BASIC5000_0361 とみがあってもかれはまんぞくしていない
BASIC5000_0362 ほんやくはぼごをよりよくしるのにやくたつ
BASIC5000_0363 ぶらぶらあぶらをうっていないでとっととしごとにもどったらどうなのさ
BASIC5000_0364 またたくうちにてにすぼるだいのだんごがきえさった
BASIC5000_0365 ゆそうちゅうにはこがひさげてなかみがとびだした
BASIC5000_0366 りょうごくのかんではぼうえきまさつがいつしょうじてもおかしくない
BASIC5000_0367 しおをまわしてくださいとかれはわたしにいっった
BASIC5000_0368 ぷるでおよいでいるまにかのじょはろっかのかぎをなくした
BASIC5000_0369 ゆびをつかってしょくじをすることはなんせいきにもわたってつづいてきたばかりでなくふたたびひろまるかもしれないとしんじているがくしゃもいる
BASIC5000_0370 こうはいのあとをみるとせんそうのいみがかれにはしみじみとかんじられた
BASIC5000_0371 ちえというものはたんにじじつをしっているだけではない
BASIC5000_0372 べてぃがぱてぃにきたさいしょのおんなのこだった
BASIC5000_0373 べっどでのたばこをきんずるきびしいきそくがある
BASIC5000_0374 べにやいたでじゅうぶんだとのことおしえられたとおりべにやいたでつくることにします
BASIC5000_0375 べびしったはあかんぼうにうたをうたってねつかせようとした
