TRAVEL1000_0001 あなたのにもつはろさんぜるすにのこっています
TRAVEL1000_0033 これはすでにおすすめしましたさんまんどるのほけんにはふくまれておりません
TRAVEL1000_0034 ちぇっくあうとをしたいのですが
TRAVEL1000_0035 くうこうのしゃとるばすはだうんたうんでかずかところどまります
TRAVEL1000_0036 すみませんがおすちんさんはごにちにはるすです
TRAVEL1000_0037 めありこちらがにっぽんのゆうじんのなかがわさんです
TRAVEL1000_0038 ぱくほてるはみつけやすいですか
TRAVEL1000_0039 またすとれっちりむじんはろくじゅうどるです
TRAVEL1000_0040 もしそれがひたいのまわりでもえるようにかんじたらしらせてください
TRAVEL1000_0041 にほんごのできるいしゃはいますか
TRAVEL1000_0042 くるまをだうんたうんでかえせばついかりょうきんをしはらわなければなりませんか
TRAVEL1000_0043 かんこうのぱんふれっとをいただけますか
TRAVEL1000_0044 おてあらいをさがしているのですが
TRAVEL1000_0045 はいたったのじっふんほどまえです
TRAVEL1000_0046 ぜんにっくういちびんのにもつはどこですか
TRAVEL1000_0047 すけじゅるとりょうきんをおしえていただけますか
TRAVEL1000_0048 はいじゅういちときにおめにかかります
TRAVEL1000_0049 とりにこられるときにおもちください
TRAVEL1000_0050 ぱてぃとじんがすいせんされています
TRAVEL1000_0051 それらがもどったときにかならずぱすぽとにほっちきすでとめてください
TRAVEL1000_0052 といれっとぺぱがありません
TRAVEL1000_0053 はいごときまでにおもちいただければしょうごまでにできます
TRAVEL1000_0054 おけすとらにさんせきれんぞくであります
TRAVEL1000_0055 はんばがにはなにをのせますか
TRAVEL1000_0056 ばるこにのせきはいくらですか
TRAVEL1000_0057 おとなはちどるでこどもよんどるです
TRAVEL1000_0058 そしてさいごのはよるのじゅうときさんじゅっふんです
TRAVEL1000_0059 いまちぇっくあうとをしたいのですが
TRAVEL1000_0060 もうしわけございませんがまいあみいきのさいしゅうのばすはもうでました
TRAVEL1000_0061 どこからしゃとるばすはでますか
TRAVEL1000_0062 そしてこれがあいているじかんです
TRAVEL1000_0063 あのこひしょっぷにたちよりましょう
TRAVEL1000_0064 このつあにさんかしたいのですが
TRAVEL1000_0065 くれじっとかどももんだいなくしようできます
TRAVEL1000_0066 ここでいぜんにかみをされたことがございますか
TRAVEL1000_0067 このてぶるでよろしいですか
TRAVEL1000_0068 はんどばっぐをたいらにおいてください
TRAVEL1000_0069 ふぇあふぃるどまちにせんひゃくじゅういちばんにとまっています
TRAVEL1000_0070 こちらににほんごのはなせるにんはいますか
TRAVEL1000_0071 もしたくしをよんでいただければきゅうきゅうびょういんにいけるとおもいます
TRAVEL1000_0072 ここでたべますかもちかえりますか
TRAVEL1000_0073 そこにおいておいていただけますか
TRAVEL1000_0074 おなじすたいるでみじかめにおねがいします
TRAVEL1000_0075 あときんそんさまありがたうございます
TRAVEL1000_0076 もしかのうならつぎのすいようびのごごにたちます
TRAVEL1000_0077 へやのでんわをしようしましたか
TRAVEL1000_0078 あんはきょうのごごはすこしおくれています
TRAVEL1000_0079 はいここにそのぱんふれっとがあります
TRAVEL1000_0080 ふるつかにくるいをおもちですか
TRAVEL1000_0081 さびすりょうはかんじょうしょきにふくまれていますか
TRAVEL1000_0082 えのしゃしんをとってもいいですか
TRAVEL1000_0083 ほけんはどうすればいれますか
TRAVEL1000_0084 はいかんぜいのしんこくしょなどもあります
TRAVEL1000_0085 あさのじゅうときからよるのきゅうときまでです
TRAVEL1000_0086 もしそれいじょうたいざいするのであればそのえんちょうをかならずしてください
TRAVEL1000_0087 ちょうしょくはなにをめしあがりますか
TRAVEL1000_0088 しかごからぼるちもあのれっしゃのすけじゅるはどのようになっていますか
TRAVEL1000_0089 だうんたうんのちずはありますか
TRAVEL1000_0090 こうくうがいしゃにもじゅしんにんはらいでかけられますか
TRAVEL1000_0091 けつえきけんさもしていただきたいのですが
TRAVEL1000_0092 このちいさいこづつみをこうくうびんでおくりたいのですが
TRAVEL1000_0093 このばすはおはいおとうりにいきますか
TRAVEL1000_0094 こちらではどこにたいざいされていますか
TRAVEL1000_0095 じょうほうありがとうございました
TRAVEL1000_0096 ここからだうんたうんへいくさいぜんのほうほうはなんですか
TRAVEL1000_0097 ろびのいすのじょうにおいておいたのですが
TRAVEL1000_0098 どのようなぶりふけすですか
TRAVEL1000_0099 がいこくじんがくせいのためのおりえんてしょんはいつですか
TRAVEL1000_0100 しょっぴんぐせんたまでしゃとるばすがあるそうですが
TRAVEL1000_0101 どうもありがとうございました
TRAVEL1000_0102 にじじゅっぷんのざせきをおねがいします
TRAVEL1000_0103 このさいしょのぺじのばんごうへおくってください
TRAVEL1000_0104 できればよるのしょをおねがいします
TRAVEL1000_0105 しかしれあでおねがいします
TRAVEL1000_0106 とらべらずちぇっくでしはらいます
TRAVEL1000_0107 おそれいりますがかめらをはくぶつかんのなかにもっていることはできません
TRAVEL1000_0108 じゅりこちらがたむらじゅんこさんです
TRAVEL1000_0109 たくしでいったほうがよいでしょう
TRAVEL1000_0110 じゅうごにちのごぜんくときさんじゅうにふんろさんじぇるすはつのにじゅうびんのかくにんができました
TRAVEL1000_0111 あしたのじゅうときまでにできあがりますか
TRAVEL1000_0112 そしてわたしはあなたのきろくをとりだします
TRAVEL1000_0113 しゃとるばすはそこにどまりますか
TRAVEL1000_0114 わたしたちのせきはせくしょんななのじゅうにれつです
TRAVEL1000_0115 このちずにいんをつけてください
TRAVEL1000_0116 あかわいんをぐらすでににんぶんおねがいします
TRAVEL1000_0117 それはといれつきでしょくじこみです
TRAVEL1000_0118 かぎのほしょうきんをかえしていただけますか
TRAVEL1000_0119 それらをだれかにもっていかせます
TRAVEL1000_0120 このてがみのおもさをはかっていただけますか
TRAVEL1000_0121 もしおくれればじかんたんいのついかりょうきんをいただきます
TRAVEL1000_0122 どこにいけばしばいのきっぷがてにいりますか
TRAVEL1000_0123 でんわでしばいのよやくはできますか
TRAVEL1000_0124 あなたのばっぐはこのなかでどれにもっともにていますか
TRAVEL1000_0125 みやげようのほんはでぐちのみやげものやにあります
TRAVEL1000_0126 はいかたろぐをいただきましてありがとうございます
TRAVEL1000_0127 いろいろとてつだっていただきましてありがとうございます
TRAVEL1000_0128 このくるずのりょうきんはいくらですか
TRAVEL1000_0129 またびざのさいはっこうはどこでしんせいしますか
TRAVEL1000_0130 いしゃをあなたのへやへできるだけはやくいかせます
TRAVEL1000_0131 こんばんのせんとるいすいきのばすのきっぷをおねがいします
TRAVEL1000_0132 これらのはこをくるままではこぶのをてつだってくださいますか
TRAVEL1000_0133 しないのばあいはどうすればよいのでしょうか
TRAVEL1000_0134 すみませんがろうかのつきあたりのこうしゅうでんわをごしようください
TRAVEL1000_0135 ここのかくですかそれともつぎのかくですか
TRAVEL1000_0136 みなさんがごぞんじのようにさいきんじゅうぎょうものがちこくをしているというもんだいがあります
TRAVEL1000_0137 すりにあってくれじっとかどをぬすまれました
TRAVEL1000_0138 ここによやくのかくにんしょうがあります
TRAVEL1000_0139 とうりにいたふじんがみていました
TRAVEL1000_0140 このすつけすをばすのしたにいれていただけますか
TRAVEL1000_0141 すぐにだれかにそれをたしかめさせます
TRAVEL1000_0142 あなたのばっぐをごぜんちゅうにはいたつさせます
TRAVEL1000_0143 ゆないてぃっどくうこうじゅうびんにのりつぎたいのですが
TRAVEL1000_0144 めんぜいであめりかへはういすきはなんぼんもちこめますか
TRAVEL1000_0145 よんいちいちのばんごうあんないにでんわしてください
TRAVEL1000_0146 たくしやかしきりのりむじんなどはよくりょうきんをたしかめてからりようしましょう
TRAVEL1000_0147 かめらはあずけなければなりませんか
TRAVEL1000_0148 さいごにしようしたのはいつですか
TRAVEL1000_0149 ここではどこにおとまりですか
TRAVEL1000_0150 こくさいでんわのおぺれたをよんでいただけますか
TRAVEL1000_0151 ふつうよきんのこうざをひらきたいのですが
TRAVEL1000_0152 こらはどのさいずにされますか
TRAVEL1000_0153 そしてらいねんにっぽんにこられるときにはかならずわたしにあいにきてください
TRAVEL1000_0154 べっどのよこのでんとうがつきません
TRAVEL1000_0155 それについてすこしせつめいしていただけますか
TRAVEL1000_0156 あいてがそれでせいかつしているにんであればちっぷもわすれないでください
TRAVEL1000_0157 ぱくほてるにとまっています
TRAVEL1000_0158 せいおうではきもちをひょうげんすることとくにかんしゃのひょうげんがじゅうようです
TRAVEL1000_0159 じゅしんにんはらいのでんわはどのようにすればよろしいでしょうか
TRAVEL1000_0160 こちらがばすたみなるのほうこうですか
TRAVEL1000_0161 でんわしてくださってありがとう
TRAVEL1000_0162 よるにあらってあさにかりんぐあいろんをしようします
TRAVEL1000_0163 にじゅうよじかんいないにきっぷをうけとってください
TRAVEL1000_0164 それではじゅうにときごふんすぎですね
TRAVEL1000_0165 ますたかどでおしはらいになりますか
TRAVEL1000_0166 りょうきんのにばいいないのひたいであればとらべらずちぇっくをうけとります
TRAVEL1000_0167 このしゅくはくかどにきにゅうしていただけますか
TRAVEL1000_0168 よるはこみますのでよやくがあるほうがよいとおもいます
TRAVEL1000_0169 にっぽんへのおみやげをさがしているのですが
TRAVEL1000_0170 ひろしめぐみさんどうぞおいりください
TRAVEL1000_0171 ぴっくあっぷにはどれくらいのじかんがかかりますか
TRAVEL1000_0172 しかしせんたくひっしゅうかもくをどのようにりしゅうしてよいかわかりません
TRAVEL1000_0173 ようれいをじゅうぶんにれんしゅうしていればもんだいはないはずです
TRAVEL1000_0174 しとべるとをおしめください
TRAVEL1000_0175 かいだんをおりてばすにのってください
TRAVEL1000_0176 さくばんそちらのみせにちゃいろのさいふをわすれたのですが
TRAVEL1000_0177 ふくつうによくきくくすりはありますか
TRAVEL1000_0178 しんぐるはありませんがだぶるはあります
TRAVEL1000_0179 もうすこししらべたいことがありますのでそれかられんらくします
TRAVEL1000_0180 ばすのろせんちずをいただけますか
TRAVEL1000_0181 だれとのよやくがあるかごぞんじですか
TRAVEL1000_0182 わいるどきゃっつはこんしゅうほむすたじあむでしあいをしていますか
TRAVEL1000_0183 えあこんがこしょうしているのではありませんか
TRAVEL1000_0184 いちどしょうかいされたにんはどりょくしておぼえておきましょう
TRAVEL1000_0185 これらをとうすことはできますか
TRAVEL1000_0186 りょうほうでよんどるきゅうじゅっせんとです
TRAVEL1000_0187 これがへやとかぎとめるぼっくすのかぎです
TRAVEL1000_0188 わたしのがくせいもなんにんかりしゅうしています
TRAVEL1000_0189 べるぼいににもつをへやまでとどけさせましょうか
TRAVEL1000_0190 はいたによくきくくすりはありますか
TRAVEL1000_0191 ここからだうんたうんへはどこにいけばよいですか
TRAVEL1000_0192 あいまいにたずねればてきをいたへんじはえられません
TRAVEL1000_0193 のるまえにきっぷをかわなければなりません
TRAVEL1000_0194 すみませんがまつむらさんですか
TRAVEL1000_0195 しゃとるばすがあなたのほてるにとまるとおもいます
TRAVEL1000_0196 あめりかにんのどうりょうのははがきのうなくなりました
TRAVEL1000_0197 だれかぴっくあっぷしていただけますか
TRAVEL1000_0198 このほてるにはとこやはありますか
TRAVEL1000_0199 いちをだいあるしてじゅしんおとがしたらしがいきょくばんとでんわばんごうをだいあるしてください
TRAVEL1000_0200 ごにちにおすちんさんにあうおやくそくをできますか
TRAVEL1000_0201 ここでしばらくおまちください
TRAVEL1000_0202 もうしわけございませんがよきんはあつかっていません
TRAVEL1000_0203 ひろしめぐみさんおめにかかれてうれしいです
TRAVEL1000_0204 こうしゅうでんわはどこにありますか
TRAVEL1000_0205 このすつけすをあずけたいのですが
TRAVEL1000_0206 くるまがはそんしたばあいにほけんきんがしはらわれます
TRAVEL1000_0207 どれくらいですみすさんにあえるかわかりますか
TRAVEL1000_0208 わたしはまだよていをたてていません
TRAVEL1000_0209 にゅよくからにゅおりんずまでのばすについてたずねたいのですが
TRAVEL1000_0210 ええっとにじゅうどるよんまいじゅうどるいちまいごどるにまいおねがいします
TRAVEL1000_0211 そしてあなたのめいるぼっくすのばんごうはへやのばんごうとおなじです
TRAVEL1000_0212 さいしゅうのしゃとるばすはなんじですか
TRAVEL1000_0213 くすりがきかなければどうしましょうか
TRAVEL1000_0214 このかいぎにとうろくすることにかんしてだれとあえばよろしいでしょうか
TRAVEL1000_0215 ゆうしょくにおまねきいただきありがとうございます
TRAVEL1000_0216 このてがみをにっぽんにそくたつでおくりたいのですが
TRAVEL1000_0217 あなたのばっぐはじゅうしょとしめいのかいたさつがついていますか
TRAVEL1000_0218 しゅうまつはここにおりませんので
TRAVEL1000_0219 ここでかみをきったことがございますか
TRAVEL1000_0220 ろりはすぐじゅんびができます
TRAVEL1000_0221 ばるこにによんせきれんぞくであります
TRAVEL1000_0222 こちらへははじめてきたのですが
TRAVEL1000_0223 これにはしんぶんもたしょういっっています
TRAVEL1000_0224 ごじゅうどるさつをくだいてください
TRAVEL1000_0225 あめりかではれすとらんはおおきくみっつにわけることができます
TRAVEL1000_0226 もちものをここにあずけましょうか
TRAVEL1000_0227 もうしわけございませんがぽとらんどいきのさいしゅうのばすはもうでました
TRAVEL1000_0228 さいふにはなにがいっっていたのでしょうか
TRAVEL1000_0229 すみませんがおはいおとおりいちろくいちにつがはどこですか
TRAVEL1000_0230 このばすはこうえんとうりにいきますか
TRAVEL1000_0231 らいがっきよぶんのくらすをりしゅうしたいのです
TRAVEL1000_0232 もういっほんびるをいかがですか
TRAVEL1000_0233 あしたてんけんしていただけますか
TRAVEL1000_0234 たくしをよんでいただけますか
TRAVEL1000_0235 きゃなるとうりのしでんはいかですか
TRAVEL1000_0236 あのてれびすくりんでたしかめてください
TRAVEL1000_0237 あのしんしふくうりばのむこうですか
TRAVEL1000_0238 このてがみをもういちどたいぷしていただければありがたいのですが
TRAVEL1000_0239 あいさつはかいわをすむずにはじめたりおえたりするためのきまりもんくです
TRAVEL1000_0240 いまにゅよくでもっともにんきのあるしばいはなんですか
TRAVEL1000_0241 よやくはしていないのですがふたりぶんのせきはありますか
TRAVEL1000_0242 わたしのひこうきのさいかくにんをしたいのですが
TRAVEL1000_0243 それはさんいちさんよんいちいちさんにさんにです
TRAVEL1000_0244 えいごいちまるいちがかいてありますがあなたはこのがっきにりしゅうできません
TRAVEL1000_0245 ろくときにさんめいさまできんえんてぶるをごよやくですね
TRAVEL1000_0246 ええっともしかのうならぶすのせきがよいのですが
TRAVEL1000_0247 じょうしがきんきゅうのかいごうをしょうしゅうしました
TRAVEL1000_0248 きかくぶのでぃんしとはなしたいのですが
TRAVEL1000_0249 わたしのびようしはふつうまえにきります
TRAVEL1000_0250 おすわりになっていただけますか
TRAVEL1000_0251 りょうきんはひゃくにじゅうどるきゅうじゅうごせんとです
TRAVEL1000_0252 せんせいはぼすとんだいがくでえいごをおしえてらおれます
TRAVEL1000_0253 このしょほうせんのくすりをここでいただけますか
TRAVEL1000_0254 これについてもっとはやくはなさなかったことをこころよりあやまらなければなりません
TRAVEL1000_0255 げんきんですかくれじっとかどですか
TRAVEL1000_0256 わたしたちはこれをちゅうもんしていません
TRAVEL1000_0257 それではくれじっとかどのかみはやぶいておきます
TRAVEL1000_0258 ふなびんではどれくらいのきかんがかかりますか
TRAVEL1000_0259 すてきでぃなをおねがいします
TRAVEL1000_0260 でんわでよやくするひつようがあります
TRAVEL1000_0261 ふつううんちんによんじゅうろくどるついかになります
TRAVEL1000_0262 これがおきゃくさまのちゅうもんされたものです
TRAVEL1000_0263 そのへんでだれかにきいてください
TRAVEL1000_0264 どこにはんどばっぐがありますか
TRAVEL1000_0265 さんふらんしすこのかんこうがしたいのですが
TRAVEL1000_0266 がっこうをやすんでいえにいたほうがよいでしょうか
TRAVEL1000_0267 げんだいびじゅつかんにいくにはどこのえきでおりるのがよいでしょうか
TRAVEL1000_0268 それをこうかんしていただきたいのですが
TRAVEL1000_0269 へやのでんわをじゅしんにんはらいのでんわでもしようするとりょうきんがかかります
TRAVEL1000_0270 いちばんちかいちかてつのえきはどこですか
TRAVEL1000_0271 ばっぐをとりにこられるときにおもちください
TRAVEL1000_0272 ひるさいどかいしゃはみつけやすいですか
TRAVEL1000_0273 それにくれじっとかどほけんしょうとうんてんめんきょしょうもいっっていました
TRAVEL1000_0274 とうざよきんのこうざをひらきたいのですが
TRAVEL1000_0275 よくあんきしてしぜんにいえるようにれんしゅうしましょう
TRAVEL1000_0276 かぜによくきくくすりはありますか
TRAVEL1000_0277 にゅよくではどこにしゅくはくしますか
TRAVEL1000_0278 なにかしてもらったときにはかならずはっきりとかんしゃのきもちをひょうげんしてください
TRAVEL1000_0279 そこをなんとかじかんをひらけてもらえませんか
TRAVEL1000_0280 しょくじをきゅうじされるところではちっぷはひつようでたんにかうところではふようです
TRAVEL1000_0281 ごばんがいとべっせいとおりのこうさてんへはどのようにいけばよいでしょうか
TRAVEL1000_0282 このびんもふくめてはちじゅうはちどるごじゅっせんとです
TRAVEL1000_0283 ほんさくひんのりようはけんきゅうきょういくもくてきもしくはしてきりようのはんいないにかぎります
TRAVEL1000_0284 でんわしてよやくをとりましょうか
TRAVEL1000_0285 つあのかんはこのぴんをしゃつにつけておいてください
TRAVEL1000_0286 ひこうきはさびすがよくかのうなかぎりきゃくのようぼうにこたえられるようにどりょくしています
TRAVEL1000_0287 それのせんたくだいきんをおしはらいします
TRAVEL1000_0288 どようびにゆうしょくにおこしくださいますか
TRAVEL1000_0289 しょうてんをあわせるひつようがありますか
TRAVEL1000_0290 ほんしゃからあめりかのししゃのまねじゃにあうようにいらいがありました
TRAVEL1000_0291 えこのみくらすでおねがいします
TRAVEL1000_0292 とらべらずちぇっくでおしはらいできますか
TRAVEL1000_0293 もしきょうおうふくのきっぷをかったらかえりはどのようにしてばすにのりますか
TRAVEL1000_0294 きねんひのまえでわたしのしゃしんをとっていただけますか
TRAVEL1000_0295 だんせいようのといれはどちらでしょうか
TRAVEL1000_0296 すみませんこのあんぜんけんさじょうはきっぷをもったとうじょうしゃのみつうかできます
TRAVEL1000_0297 でざとのおぼんをもってきていただけますか
TRAVEL1000_0298 ぜろとでんわばんごうをだいあるしておぺれたにそのようにいっってください
TRAVEL1000_0299 ゆうそうにしようできるちいさいはこはありますか
TRAVEL1000_0300 ぞうのじょうのぶぶんとみぎがわのはなをいれてください
TRAVEL1000_0301 どれくらいこのひこうきはおくれますか
TRAVEL1000_0302 あねっとほてるのちかくですか
TRAVEL1000_0303 ええいちときによやくをとっているのですが
TRAVEL1000_0304 だいさんものにうったえられたばあいのたいじんほけんもあります
TRAVEL1000_0305 つぎのじょうえいはなんじにはじまりますか
TRAVEL1000_0306 どのくらいのきかんこのくるまがひつようですか
TRAVEL1000_0307 しょっぴんぐせんたまでじかんはどれくらいかかりますか
TRAVEL1000_0308 ひがしこうえんではおりてみますか
TRAVEL1000_0309 ひろたさんすみませんがあなたのよやくはみあたりません
TRAVEL1000_0310 ごうけいきんがくをきにゅうしてここにしょめいしていただけますか
TRAVEL1000_0311 どれくらいまたなければなりませんか
TRAVEL1000_0312 しかしもしさんにちまえにこうにゅうすればひゃくはちどるななじゅうごせんとです
TRAVEL1000_0313 えいあんどしうえすとおぺれたです
TRAVEL1000_0314 むすこのおみやげをさがしているのですが
TRAVEL1000_0315 すみませんがごえんりょねがいいますか
TRAVEL1000_0316 しばらくはなすじかんがありますか
TRAVEL1000_0317 しないのゆうじんにでんわしようとしましたがるすでした
TRAVEL1000_0318 あしたのごごあいているじかんはありますか
TRAVEL1000_0319 いちばんちかいちかてつのえきはどこでしょうか
TRAVEL1000_0320 これはほんとしておくるにははくすぎます
TRAVEL1000_0321 このちかくにしかいいんはありますか
TRAVEL1000_0322 だんはむはひだりがわでつぎのとうりとのまんなかくらいにあります
TRAVEL1000_0323 ばすはどのくらいのかんかくではしっていますか
TRAVEL1000_0324 それにつけるものがありますので
TRAVEL1000_0325 よいひこうきのたびをそしてまたらいねんあいましょう
TRAVEL1000_0326 さいしょにおはなししなければならないことはろうどうくみあいのあたらしいようきゅうです
TRAVEL1000_0327 くうこうばすはあすてぃんほてるのちかくにどまりますか
TRAVEL1000_0328 つうろがわのせきのほうがよいのでかわっていただけませんか
TRAVEL1000_0329 このこづつみにさんじゅうどるのほけんをかけたいのですが
TRAVEL1000_0330 えすことかとよたならあるとおもいます
TRAVEL1000_0331 あしたのじゅうときのおやくそくのかくにんのためにでんわさせていただきました
TRAVEL1000_0332 このでんわのつかいかたをおしえていただけますか
TRAVEL1000_0333 ここでとりあげたようれいはひじょうにひんぱんにしようされているものです
TRAVEL1000_0334 かったときにはきがつきませんでした
TRAVEL1000_0335 ちぇっくのここにしょめいしていただけますか
TRAVEL1000_0336 あかでみっくあどばいざとあうやくそくをしましたか
TRAVEL1000_0337 たいりょうちゅうもんのばあいはねびきはありますか
TRAVEL1000_0338 とらべらずちぇっくくれじっとかどげんきんとぱすぽとです
TRAVEL1000_0339 ぼぶさんおいのりをおねがいします
TRAVEL1000_0340 あなたのことはいろいろうかがっております
TRAVEL1000_0341 いいえろすとびふをちゅうもんしました
TRAVEL1000_0342 どれくらいのかちのあるものですか
TRAVEL1000_0343 さとうさませきがあきしだいおなまえをおよびいたします
TRAVEL1000_0344 でざとにはあいすくりむをください
TRAVEL1000_0345 しょくごにおとなはにじょうこどもはいちじょうです
TRAVEL1000_0346 なまびるですかびんびるですか
TRAVEL1000_0347 るむさびすはこのばんごうでしょうか
TRAVEL1000_0348 あめりかこくないでだいいったねゆうびんぶつをおくるといくらになりますか
TRAVEL1000_0349 ぎあんのさいしょはひんしつかんりのもんだいです
TRAVEL1000_0350 じゅうはちにちのごごじゅうときにふんしあとるはつのにひゃくはちじゅうごびんにかくにんされました
TRAVEL1000_0351 にもつをとりにだれかきていただけますか
TRAVEL1000_0352 はいぼいんとんほてるへいきます
TRAVEL1000_0353 はいげんちじかんのじゅういちときにつきます
TRAVEL1000_0354 どこできっぷをうけとればよろしいか
TRAVEL1000_0355 それでもまだいたむようでしたらまたきてください
TRAVEL1000_0356 ほけんのしんこくのためにけいさつのとうなんとどけがひつようです
TRAVEL1000_0357 きんようびにはほかのよていがいっっています
TRAVEL1000_0358 いがいとあいてはすなおにこちらのきぼうとうりにしてくれることがおおいものです
TRAVEL1000_0359 どのほうほうがもっともよいでしょうか
TRAVEL1000_0360 いんたびゅしけんはすいようびにおこなわれます
TRAVEL1000_0361 ほてるちょくつうのでんわがあそこにあります
TRAVEL1000_0362 おねがいですからわたしのうでにはやくほうたいをまいてください
TRAVEL1000_0363 それがあなたのじゃまになっているとはしりませんでした
TRAVEL1000_0364 こうきゅうなところへはひとびとはびじねすいわいこととくべつたのしむためにいきます
TRAVEL1000_0365 なにかめじるしになるものはありますか
TRAVEL1000_0366 よろこんでいきたいのですがかいごうがありますので
TRAVEL1000_0367 ええっとわたしたちはこれをちゅうもんしていません
TRAVEL1000_0368 なんじにこひしょっぷはひらきますか
TRAVEL1000_0369 おなじすたいるのですかことなるのですか
TRAVEL1000_0370 ぺにしりんにあれるぎをもっています
TRAVEL1000_0371 かみをかっていただきたいのですが
TRAVEL1000_0372 ふらっしゅをしようしてもいいでしょうか
TRAVEL1000_0373 ゆうびんきょくからゆうびんきょくへのはいたつびんがあります
TRAVEL1000_0374 ちょこれとけきをおねがいします
TRAVEL1000_0375 しおとこしょうをまわしていただけますか
TRAVEL1000_0376 たいざいをえんちょうするにはどうすればよいでしょうか
TRAVEL1000_0377 もよりのしでんのていりゅうしょはどこですか
TRAVEL1000_0378 かれにこのりょうしゅうしょをみせてください
TRAVEL1000_0379 おこしいただいてありがとうございます
TRAVEL1000_0380 こてんげきじょうではなにをやっていますか
TRAVEL1000_0381 もしおのぞみであればめるるむがそれをあつかいます
TRAVEL1000_0382 ちゅうしゃじょうがわはろくじゅうろくどるきゅうじゅうごせんとです
TRAVEL1000_0383 にゅよくからでんばまでのちょっこうのひこうきはありますか
TRAVEL1000_0384 ふらっしゅによるさつえいはきんしです
TRAVEL1000_0385 しょくじをもちかえるようになっているばあいもおおいです
TRAVEL1000_0386 だれかきててんけんしていただけますか
TRAVEL1000_0387 なにかそれにかんしてしってられますか
TRAVEL1000_0388 これらのこづつみをにっぽんにふなびんでおくりたいのですが
TRAVEL1000_0389 このつあではなにをけんぶつするのですか
TRAVEL1000_0390 ぽけっとをそらにしてもういちどとおってください
TRAVEL1000_0391 なかみはごじゅうどるのねうちがあります
TRAVEL1000_0392 このとうりをにぶろっくあるいてばすのていりゅうしょへいってください
TRAVEL1000_0393 のうふのちょうしょくをおねがいします
TRAVEL1000_0394 きろくをのこしておきますからこのしょるいにきにゅうしていただけますか
TRAVEL1000_0395 あいすくりむもいっしょにめしあがりますか
TRAVEL1000_0396 あなたはおはいおとうりにいます
TRAVEL1000_0397 あめりかこくないびんはすべてきんえんせきです
TRAVEL1000_0398 おやくそくのやりなおしをしたほうがよさそうですね
TRAVEL1000_0399 すたじあむのとなりのうおるつばがでゆうしょくをするためにごときさんじゅうふんにしゅうごうします
TRAVEL1000_0400 こひしょっぷによっていきませんか
TRAVEL1000_0401 てぶるをもとにもどしてください
TRAVEL1000_0402 こんやかんこうきゃくのためのとくべつなもよおしものがありますか
TRAVEL1000_0403 こんどはあたまのうえでかるするようにおねがいします
TRAVEL1000_0404 ふぁすとくらすびじねすくらすかえこのみくらすのどれをおかんがえですか
TRAVEL1000_0405 ごせんとこうかにまいじゅっせんとこうかよんまいとにじゅうごせんとこうかにまいです
TRAVEL1000_0406 くれじっとかどとごじゅうどるほどいっっていました
TRAVEL1000_0407 ちゅうがくやこうこうのえいごをおもいだせばほとんどりかいできるとおもいます
TRAVEL1000_0408 このこづつみをりょうきんとゆうそうりょううけとりにんはらいでおくりたいのですが
TRAVEL1000_0409 ゆうじんへのちいさいみやげをもっています
TRAVEL1000_0410 きゅうじつのりょうきんはめたのさんじゅっぱーせんとましです
